Nome da Organização,M1 - Agro,M2 - Saúde,M3 - Mobilidade,M4 - Digital,M5 - Bioeconomia,M6 - Defesa
IConnectPet,✅ Alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Economarket,✅ Alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha
Covalub Ltda,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
P. SEVERINI NETTO,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Repcarros,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Rotulus,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Ai Robots,✅ Alinha,✅ Alinha,✅ Alinha,✅ Alinha,✅ Alinha,✅ Alinha
VIDA VEG S/A,✅ Alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha
Good Drinks,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Mel Flores,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Loovi,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Loja CAOS,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Lavemcasa,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Kapsula,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
IzyB,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha
Indenizar,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Grupo Melhor Compra,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Grupo Algar,✅ Alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,✅ Alinha,✅ Alinha
Gruller,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
GNRx,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
GetMalas,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha
Funday,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Foozi,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Flowins,✅ Alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha
Faxina.Online,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Fab.,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Escola Ninja WP,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Elfutec,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Edur,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Dojo Des. Profissional,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Clube Rota Gourmet,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Cliente Fiel,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Casa Beta,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Carona - Delas para Elas,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Cancelou.com,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Cada Semana um Bar GV,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Cachaçaria Nacional,✅ Alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Cachaça Express,✅ Alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Bicha da Justiça,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
AZAPFY,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Armário Compartilhado,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha
Aquila,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
123Milhas,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Neft,❌ Não se alinha,✅ Alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
TEC PECAS,✅ Alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Jolifox School,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
AYUB VOGAS (PAZU),❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Granto Seguros,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
Trokaí Tecnologia,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,❌ Não se alinha
NetNúcleo Soluções,✅ Alinha,✅ Alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha
JFNA Consultoria,✅ Alinha,❌ Não se alinha,✅ Alinha,✅ Alinha,✅ Alinha,❌ Não se alinha
BePet,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Plataforma Alvo,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Alldone Car Service,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Long Stay Suites,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
AVULTA,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha
Conveniar,❌ Não se alinha,❌ Não se alinha,❌ Não se alinha,✅ Alinha,❌ Não se alinha,❌ Não se alinha